x,y,value
1,5,5
2,5,5
3,5,5
4,5,5
5,5,5
6,5,5
7,5,5
8,5,5
9,5,5
10,5,5
11,5,5
12,5,5
13,5,5
14,5,5
15,5,5
16,5,5
17,5,4
18,5,3
19,5,127
20,5,127
21,5,127
22,5,127
23,5,127
24,5,127
25,5,0
26,5,127
27,5,127
28,5,127
29,5,127
30,5,127
31,5,127
32,5,127
33,5,127
34,5,127
35,5,127
36,5,127
37,5,127
38,5,127
39,5,127
40,5,127
41,5,127
42,5,127
43,5,127
44,5,127
45,5,127
46,5,127
47,5,127
48,5,127
49,5,127
50,5,127
51,5,127
52,5,127
53,5,127
54,5,127
55,5,127
56,5,1
57,5,127
58,5,127
59,5,1
60,5,1
61,5,1
62,5,1
63,5,2
64,5,1
65,5,127
0,6,5
1,6,5
2,6,5
3,6,5
4,6,5
5,6,5
6,6,5
7,6,5
8,6,5
9,6,5
10,6,5
11,6,5
12,6,5
13,6,5
14,6,5
15,6,5
16,6,5
17,6,5
18,6,5
19,6,4
20,6,127
21,6,127
22,6,127
23,6,127
24,6,127
25,6,1
26,6,127
27,6,127
28,6,127
29,6,127
30,6,127
31,6,127
32,6,127
33,6,127
34,6,127
35,6,127
36,6,127
37,6,127
38,6,127
39,6,127
40,6,127
41,6,127
42,6,127
43,6,127
44,6,127
45,6,127
46,6,127
47,6,127
48,6,127
49,6,127
50,6,127
51,6,127
52,6,127
53,6,127
54,6,127
55,6,2
56,6,2
57,6,2
58,6,2
59,6,3
60,6,2
61,6,2
62,6,3
63,6,3
64,6,127
65,6,127
0,7,5
1,7,5
2,7,5
3,7,5
4,7,5
5,7,5
6,7,5
7,7,5
8,7,5
9,7,5
10,7,5
11,7,5
12,7,5
13,7,5
14,7,5
15,7,5
16,7,5
17,7,5
18,7,5
19,7,5
20,7,4
21,7,127
22,7,127
23,7,2
24,7,2
25,7,2
26,7,1
27,7,127
28,7,127
29,7,127
30,7,127
31,7,127
32,7,127
33,7,127
34,7,127
35,7,127
36,7,127
37,7,127
38,7,127
39,7,127
40,7,127
41,7,127
42,7,127
43,7,127
44,7,127
45,7,127
46,7,127
47,7,127
48,7,127
49,7,127
50,7,127
51,7,127
52,7,127
53,7,127
54,7,2
55,7,3
56,7,3
57,7,3
58,7,3
59,7,4
60,7,4
61,7,4
62,7,4
63,7,3
64,7,3
65,7,127
0,8,5
1,8,5
2,8,5
3,8,5
4,8,5
5,8,5
6,8,5
7,8,5
8,8,5
9,8,5
10,8,5
11,8,5
12,8,5
13,8,5
14,8,5
15,8,5
16,8,5
17,8,5
18,8,5
19,8,5
20,8,5
21,8,4
22,8,3
23,8,3
24,8,3
25,8,2
26,8,1
27,8,127
28,8,127
29,8,127
30,8,127
31,8,127
32,8,127
33,8,127
34,8,127
35,8,127
36,8,127
37,8,127
38,8,127
39,8,127
40,8,127
41,8,127
42,8,127
43,8,127
44,8,127
45,8,127
46,8,127
47,8,127
48,8,127
49,8,127
50,8,127
51,8,127
52,8,127
53,8,127
54,8,3
55,8,3
56,8,4
57,8,4
