x,y,Wave_Power,Bathymetry,Distance_to_Shore,Chlorophyll,Salinity
77.43,22.830000000000002,127,255,127.0,5.0,5.0
77.93,22.830000000000002,127,255,127.0,5.0,127.0
78.43,22.830000000000002,127,255,127.0,5.0,127.0
78.93,22.830000000000002,127,255,127.0,5.0,127.0
79.43,22.830000000000002,127,255,127.0,5.0,127.0
79.93,22.830000000000002,127,255,127.0,5.0,127.0
80.43,22.830000000000002,127,255,127.0,5.0,127.0
80.93,22.830000000000002,127,255,127.0,5.0,127.0
81.43,22.830000000000002,127,255,127.0,5.0,127.0
81.93,22.830000000000002,127,255,127.0,5.0,127.0
82.43,22.830000000000002,127,255,127.0,5.0,127.0
82.93,22.830000000000002,127,255,127.0,5.0,127.0
83.43,22.830000000000002,127,255,127.0,5.0,127.0
83.93,22.830000000000002,127,255,127.0,5.0,127.0
84.43,22.830000000000002,127,255,127.0,5.0,127.0
84.93,22.830000000000002,127,255,127.0,5.0,127.0
85.43,22.830000000000002,127,255,127.0,5.0,127.0
85.93,22.830000000000002,127,255,127.0,5.0,127.0
86.43,22.830000000000002,127,255,127.0,5.0,127.0
86.93,22.830000000000002,127,255,127.0,5.0,127.0
87.43,22.830000000000002,127,255,127.0,5.0,127.0
87.93,22.830000000000002,127,255,127.0,5.0,127.0
88.43,22.830000000000002,127,255,1.0,5.0,127.0
88.93,22.830000000000002,127,255,1.0,4.0,127.0
89.43,22.830000000000002,127,255,127.0,5.0,127.0
89.93,22.830000000000002,127,255,127.0,5.0,127.0
90.43,22.830000000000002,127,255,3.0,2.0,1.0
90.93,22.830000000000002,1,255,3.0,1.0,1.0
91.43,22.830000000000002,1,255,3.0,1.0,1.0
91.93,22.830000000000002,127,255,3.0,3.0,1.0
92.43,22.830000000000002,127,255,3.0,2.0,1.0
59.93,22.330000000000002,5,255,3.0,2.0,2.0
60.43,22.330000000000002,5,255,3.0,1.0,1.0
60.93,22.330000000000002,5,255,3.0,1.0,1.0
61.43,22.330000000000002,5,255,3.0,1.0,1.0
61.93,22.330000000000002,5,255,3.0,2.0,1.0
62.43,22.330000000000002,5,255,3.0,2.0,1.0
62.93,22.330000000000002,5,255,3.0,2.0,1.0
63.43,22.330000000000002,5,255,3.0,2.0,1.0
63.93,22.330000000000002,5,255,3.0,3.0,1.0
64.43,22.330000000000002,5,255,3.0,3.0,1.0
64.93,22.330000000000002,5,255,3.0,4.0,1.0
65.43,22.330000000000002,5,255,3.0,4.0,1.0
65.93,22.330000000000002,5,255,3.0,4.0,1.0
66.43,22.330000000000002,5,255,2.0,5.0,1.0
66.93,22.330000000000002,5,255,2.0,5.0,1.0
67.43,22.330000000000002,5,255,127.0,5.0,127.0
67.93,22.330000000000002,5,255,127.0,5.0,127.0
68.43,22.330000000000002,5,255,127.0,5.0,127.0
68.93,22.330000000000002,5,255,127.0,5.0,127.0
69.43,22.330000000000002,127,255,2.0,4.0,127.0
69.93,22.330000000000002,127,255,127.0,5.0,127.0
70.43,22.330000000000002,127,255,127.0,5.0,127.0
70.93,22.330000000000002,127,255,127.0,5.0,127.0
71.43,22.330000000000002,127,255,127.0,5.0,127.0
71.93,22.330000000000002,127,255,127.0,5.0,127.0
72.43,22.330000000000002,1,255,127.0,5.0,127.0
72.93,22.330000000000002,127,255,127.0,5.0,127.0
73.43,22.330000000000002,127,255,127.0,5.0,3.0
73.93,22.330000000000002,127,255,127.0,5.0,4.0
74.43,22.330000000000002,127,255,127.0,5.0,127.0
74.93,22.330000000000002,127,255,127.0,5.0,127.0
75.43,22.330000000000002,127,255,127.0,5.0,127.0
75.93,22.330000000000002,127,255,127.0,5.0,127.0
76.43,22.330000000000002,127,255,127.0,5.0,127.0
76.93,22.330000000000002,127,255,127.0,5.0,127.0
77.43,22.330000000000002,127,255,127.0,5.0,127.0
77.93,22.330000000000002,127,255,127.0,5.0,127.0
78.43,22.330000000000002,127,255,127.0,5.0,127.0
78.93,22.330000000000002,127,255,127.0,5.0,127.0
79.43,22.330000000000002,127,255,127.0,5.0,127.0
79.93,22.330000000000002,127,255,127.0,5.0,127.0
80.43,22.330000000000002,127,255,127.0,5.0,127.0
80.93,22.330000000000002,127,255,127.0,5.0,127.0
81.43,22.330000000000002,127,255,127.0,5.0,127.0
81.93,22.330000000000002,127,255,127.0,5.0,127.0
82.43,22.330000000000002,127,4,127.0,5.0,127.0
82.93,22.330000000000002,127,4,127.0,5.0,127.0
83.43,22.330000000000002,127,4,127.0,5.0,127.0
83.93,22.330000000000002,127,4,127.0,5.0,127.0
84.43,22.330000000000002,127,4,127.0,5.0,127.0
84.93,22.330000000000002,127,4,127.0,5.0,127.0
85.43,22.330000000000002,127,4,127.0,5.0,127.0
85.93,22.330000000000002,127,4,127.0,5.0,127.0
86.43,22.330000000000002,127,4,127.0,5.0,127.0
86.93,22.330000000000002,127,4,127.0,5.0,127.0
87.43,22.330000000000002,127,4,1.0,4.0,127.0
87.93,22.330000000000002,1,4,1.0,4.0,127.0
88.43,22.330000000000002,127,3,1.0,4.0,127.0
88.93,22.330000000000002,127,3,5.0,5.0,1.0
89.43,22.330000000000002,1,3,127.0,5.0,127.0
89.93,22.330000000000002,1,3,3.0,1.0,1.0
90.43,22.330000000000002,1,3,3.0,1.0,1.0
90.93,22.330000000000002,2,3,3.0,2.0,1.0
91.43,22.330000000000002,2,3,3.0,2.0,1.0
91.93,22.330000000000002,1,3,3.0,1.0,1.0
92.43,22.330000000000002,127,3,3.0,1.0,1.0
59.93,21.830000000000002,5,3,3.0,1.0,1.0
60.43,21.830000000000002,5,3,3.0,1.0,1.0
60.93,21.830000000000002,5,3,3.0,1.0,1.0
61.43,21.830000000000002,5,2,3.0,1.0,1.0
61.93,21.830000000000002,5,2,3.0,2.0,1.0
62.43,21.830000000000002,5,2,3.0,2.0,1.0
62.93,21.830000000000002,5,2,3.0,2.0,1.0
63.43,21.830000000000002,5,2,3.0,2.0,1.0
63.93,21.830000000000002,5,2,3.0,2.0,1.0
64.43,21.830000000000002,5,2,3.0,3.0,1.0
64.93,21.830000000000002,5,2,3.0,4.0,1.0
65.43,21.830000000000002,5,2,3.0,4.0,1.0
65.93,21.830000000000002,5,2,2.0,4.0,1.0
66.43,21.830000000000002,5,2,127.0,4.0,4.0
66.93,21.830000000000002,5,2,127.0,5.0,127.0
67.43,21.830000000000002,5,2,127.0,5.0,127.0
67.93,21.830000000000002,5,1,127.0,5.0,127.0
68.43,21.830000000000002,5,1,127.0,5.0,127.0
68.93,21.830000000000002,5,1,2.0,4.0,2.0
69.43,21.830000000000002,5,1,127.0,5.0,127.0
69.93,21.830000000000002,127,1,127.0,5.0,127.0
70.43,21.830000000000002,127,1,127.0,5.0,127.0
70.93,21.830000000000002,127,1,127.0,5.0,127.0
71.43,21.830000000000002,127,1,127.0,5.0,127.0
71.93,21.830000000000002,127,1,127.0,5.0,127.0
72.43,21.830000000000002,1,1,127.0,5.0,127.0
72.93,21.830000000000002,127,1,127.0,5.0,127.0
73.43,21.830000000000002,127,1,127.0,5.0,127.0
73.93,21.830000000000002,127,0,127.0,5.0,127.0
74.43,21.830000000000002,127,0,127.0,5.0,127.0
74.93,21.830000000000002,127,0,127.0,5.0,127.0
75.43,21.830000000000002,127,0,127.0,5.0,127.0
75.93,21.830000000000002,127,0,127.0,5.0,127.0
76.43,21.830000000000002,127,0,127.0,5.0,127.0
76.93,21.830000000000002,127,0,127.0,5.0,127.0
77.43,21.830000000000002,127,0,127.0,5.0,127.0
77.93,21.830000000000002,127,0,127.0,5.0,127.0
78.43,21.830000000000002,127,255,127.0,5.0,127.0
78.93,21.830000000000002,127,0,127.0,5.0,127.0
79.43,21.830000000000002,127,0,127.0,5.0,127.0
79.93,21.830000000000002,127,255,127.0,5.0,127.0
80.43,21.830000000000002,127,0,127.0,5.0,3.0
80.93,21.830000000000002,127,255,127.0,5.0,127.0
81.43,21.830000000000002,127,255,127.0,5.0,127.0
81.93,21.830000000000002,127,255,127.0,5.0,127.0
82.43,21.830000000000002,127,255,127.0,5.0,127.0
82.93,21.830000000000002,127,255,127.0,5.0,127.0
83.43,21.830000000000002,127,255,1.0,5.0,127.0
83.93,21.830000000000002,127,255,1.0,4.0,1.0
84.43,21.830000000000002,127,255,1.0,4.0,1.0
84.93,21.830000000000002,127,255,1.0,4.0,127.0
85.43,21.830000000000002,127,255,1.0,4.0,127.0
85.93,21.830000000000002,127,255,1.0,4.0,127.0
86.43,21.830000000000002,127,255,1.0,4.0,1.0
86.93,21.830000000000002,127,255,1.0,4.0,1.0
87.43,21.830000000000002,2,255,1.0,4.0,1.0
87.93,21.830000000000002,2,255,1.0,4.0,1.0
88.43,21.830000000000002,2,255,1.0,4.0,1.0
88.93,21.830000000000002,2,255,127.0,5.0,127.0
89.43,21.830000000000002,3,255,3.0,1.0,1.0
89.93,21.830000000000002,3,255,3.0,1.0,1.0
90.43,21.830000000000002,3,255,3.0,2.0,1.0
90.93,21.830000000000002,3,255,3.0,1.0,1.0
91.43,21.830000000000002,3,255,3.0,1.0,1.0
91.93,21.830000000000002,127,255,3.0,1.0,1.0
92.43,21.830000000000002,127,255,3.0,1.0,1.0
59.93,21.330000000000002,5,255,3.0,1.0,1.0
60.43,21.330000000000002,5,255,3.0,1.0,1.0
60.93,21.330000000000002,5,255,3.0,1.0,1.0
61.43,21.330000000000002,5,255,3.0,2.0,1.0
61.93,21.330000000000002,5,255,3.0,2.0,1.0
62.43,21.330000000000002,5,255,3.0,2.0,1.0
62.93,21.330000000000002,5,255,3.0,2.0,1.0
63.43,21.330000000000002,5,255,3.0,2.0,1.0
63.93,21.330000000000002,5,255,3.0,2.0,1.0
64.43,21.330000000000002,5,255,3.0,2.0,1.0
64.93,21.330000000000002,5,255,3.0,3.0,1.0
65.43,21.330000000000002,5,255,3.0,4.0,1.0
65.93,21.330000000000002,5,255,2.0,4.0,2.0
66.43,21.330000000000002,5,255,127.0,4.0,2.0
66.93,21.330000000000002,5,255,127.0,5.0,127.0
