x,y,value
60.18,24.580000000000002,2.0
60.68,24.580000000000002,3.0
61.18,24.580000000000002,3.0
61.68,24.580000000000002,4.0
62.18,24.580000000000002,4.0
62.68,24.580000000000002,4.0
63.18,24.580000000000002,4.0
63.68,24.580000000000002,4.0
64.18,24.580000000000002,4.0
64.68,24.580000000000002,4.0
65.18,24.580000000000002,5.0
65.68,24.580000000000002,5.0
66.18,24.580000000000002,4.0
66.68,24.580000000000002,4.0
67.18,24.580000000000002,3.0
60.18,24.080000000000002,3.0
60.68,24.080000000000002,3.0
61.18,24.080000000000002,4.0
61.68,24.080000000000002,4.0
62.18,24.080000000000002,5.0
62.68,24.080000000000002,5.0
63.18,24.080000000000002,5.0
63.68,24.080000000000002,5.0
64.18,24.080000000000002,5.0
64.68,24.080000000000002,5.0
65.18,24.080000000000002,5.0
65.68,24.080000000000002,5.0
66.18,24.080000000000002,5.0
66.68,24.080000000000002,4.0
67.18,24.080000000000002,4.0
67.68,24.080000000000002,3.0
60.18,23.580000000000002,3.0
60.68,23.580000000000002,4.0
61.18,23.580000000000002,4.0
61.68,23.580000000000002,5.0
62.18,23.580000000000002,5.0
62.68,23.580000000000002,5.0
63.18,23.580000000000002,5.0
63.68,23.580000000000002,5.0
64.18,23.580000000000002,5.0
64.68,23.580000000000002,5.0
65.18,23.580000000000002,5.0
65.68,23.580000000000002,5.0
66.18,23.580000000000002,5.0
66.68,23.580000000000002,5.0
67.18,23.580000000000002,4.0
67.68,23.580000000000002,4.0
68.18,23.580000000000002,3.0
68.68,23.580000000000002,1.0
60.18,23.080000000000002,3.0
60.68,23.080000000000002,4.0
61.18,23.080000000000002,5.0
61.68,23.080000000000002,5.0
62.18,23.080000000000002,5.0
62.68,23.080000000000002,5.0
63.18,23.080000000000002,5.0
63.68,23.080000000000002,5.0
64.18,23.080000000000002,5.0
64.68,23.080000000000002,5.0
65.18,23.080000000000002,5.0
65.68,23.080000000000002,5.0
66.18,23.080000000000002,5.0
66.68,23.080000000000002,5.0
67.18,23.080000000000002,5.0
67.68,23.080000000000002,4.0
68.18,23.080000000000002,4.0
68.68,23.080000000000002,3.0
69.18,23.080000000000002,2.0
60.18,22.580000000000002,3.0
60.68,22.580000000000002,4.0
61.18,22.580000000000002,5.0
61.68,22.580000000000002,5.0
62.18,22.580000000000002,5.0
62.68,22.580000000000002,5.0
63.18,22.580000000000002,5.0
63.68,22.580000000000002,5.0
64.18,22.580000000000002,5.0
64.68,22.580000000000002,5.0
65.18,22.580000000000002,5.0
65.68,22.580000000000002,5.0
66.18,22.580000000000002,5.0
66.68,22.580000000000002,5.0
67.18,22.580000000000002,5.0
67.68,22.580000000000002,5.0
68.18,22.580000000000002,5.0
68.68,22.580000000000002,3.0
69.18,22.580000000000002,2.0
91.18,22.580000000000002,1.0
91.68,22.580000000000002,1.0
60.18,22.080000000000002,4.0
60.68,22.080000000000002,5.0
61.18,22.080000000000002,5.0
61.68,22.080000000000002,5.0
62.18,22.080000000000002,5.0
62.68,22.080000000000002,5.0
63.18,22.080000000000002,5.0
63.68,22.080000000000002,5.0
64.18,22.080000000000002,5.0
64.68,22.080000000000002,5.0
65.18,22.080000000000002,5.0
65.68,22.080000000000002,5.0
66.18,22.080000000000002,5.0
66.68,22.080000000000002,5.0
67.18,22.080000000000002,5.0
67.68,22.080000000000002,5.0
68.18,22.080000000000002,5.0
68.68,22.080000000000002,4.0
69.18,22.080000000000002,3.0
72.68,22.080000000000002,0.0
88.18,22.080000000000002,1.0
89.68,22.080000000000002,1.0
90.18,22.080000000000002,1.0
90.68,22.080000000000002,1.0
91.18,22.080000000000002,1.0
91.68,22.080000000000002,2.0
92.18,22.080000000000002,1.0
60.18,21.580000000000002,5.0
60.68,21.580000000000002,5.0
61.18,21.580000000000002,5.0
61.68,21.580000000000002,5.0
62.18,21.580000000000002,5.0
62.68,21.580000000000002,5.0
63.18,21.580000000000002,5.0
63.68,21.580000000000002,5.0
64.18,21.580000000000002,5.0
64.68,21.580000000000002,5.0
65.18,21.580000000000002,5.0
65.68,21.580000000000002,5.0
66.18,21.580000000000002,5.0
66.68,21.580000000000002,5.0
67.18,21.580000000000002,5.0
67.68,21.580000000000002,5.0
