x,y,value
60.18,24.580000000000002,32767
60.68,24.580000000000002,32767
61.18,24.580000000000002,32767
61.68,24.580000000000002,32767
62.18,24.580000000000002,32767
62.68,24.580000000000002,32767
63.18,24.580000000000002,32767
63.68,24.580000000000002,32767
64.18,24.580000000000002,32767
64.68,24.580000000000002,32767
65.18,24.580000000000002,32767
65.68,24.580000000000002,32767
66.18,24.580000000000002,32767
66.68,24.580000000000002,32767
67.18,24.580000000000002,32767
67.68,24.580000000000002,32767
68.18,24.580000000000002,32767
68.68,24.580000000000002,32767
69.18,24.580000000000002,32767
69.68,24.580000000000002,32767
70.18,24.580000000000002,32767
70.68,24.580000000000002,32767
71.18,24.580000000000002,32767
71.68,24.580000000000002,32767
72.18,24.580000000000002,32767
72.68,24.580000000000002,32767
73.18,24.580000000000002,32767
73.68,24.580000000000002,32767
74.18,24.580000000000002,32767
74.68,24.580000000000002,32767
75.18,24.580000000000002,32767
75.68,24.580000000000002,32767
76.18,24.580000000000002,32767
76.68,24.580000000000002,32767
77.18,24.580000000000002,32767
77.68,24.580000000000002,32767
78.18,24.580000000000002,32767
78.68,24.580000000000002,32767
79.18,24.580000000000002,32767
79.68,24.580000000000002,32767
80.18,24.580000000000002,32767
80.68,24.580000000000002,32767
81.18,24.580000000000002,32767
81.68,24.580000000000002,32767
82.18,24.580000000000002,32767
82.68,24.580000000000002,32767
83.18,24.580000000000002,32767
83.68,24.580000000000002,32767
84.18,24.580000000000002,32767
84.68,24.580000000000002,32767
85.18,24.580000000000002,32767
85.68,24.580000000000002,32767
86.18,24.580000000000002,32767
86.68,24.580000000000002,32767
87.18,24.580000000000002,32767
87.68,24.580000000000002,32767
88.18,24.580000000000002,32767
88.68,24.580000000000002,32767
89.18,24.580000000000002,32767
89.68,24.580000000000002,32767
90.18,24.580000000000002,32767
90.68,24.580000000000002,32767
91.18,24.580000000000002,32767
91.68,24.580000000000002,32767
92.18,24.580000000000002,32767
92.68,24.580000000000002,32767
60.18,24.080000000000002,2
60.68,24.080000000000002,2
61.18,24.080000000000002,2
61.68,24.080000000000002,2
62.18,24.080000000000002,2
62.68,24.080000000000002,2
63.18,24.080000000000002,2
63.68,24.080000000000002,2
64.18,24.080000000000002,2
64.68,24.080000000000002,2
65.18,24.080000000000002,3
65.68,24.080000000000002,4
66.18,24.080000000000002,4
66.68,24.080000000000002,4
67.18,24.080000000000002,4
67.68,24.080000000000002,5
68.18,24.080000000000002,5
68.68,24.080000000000002,5
69.18,24.080000000000002,5
69.68,24.080000000000002,5
70.18,24.080000000000002,5
70.68,24.080000000000002,5
71.18,24.080000000000002,5
71.68,24.080000000000002,5
72.18,24.080000000000002,5
72.68,24.080000000000002,5
73.18,24.080000000000002,5
73.68,24.080000000000002,5
74.18,24.080000000000002,5
74.68,24.080000000000002,5
75.18,24.080000000000002,5
75.68,24.080000000000002,5
