x,y,Wave_Power,Bathymetry,Distance_to_Shore,Chlorophyll,Salinity
69.18,22.08,5,255,3,5,1
69.68,22.08,127,255,2,5,2
70.18,22.08,127,255,2,5,127
70.68,22.08,127,255,127,5,127
71.18,22.08,127,255,127,5,127
71.68,22.08,127,255,127,5,127
72.18,22.08,127,255,127,5,127
72.68,22.08,1,255,2,5,127
73.18,22.08,127,255,127,5,127
73.68,22.08,127,255,127,5,127
74.18,22.08,127,255,127,5,127
74.68,22.08,127,255,127,5,127
75.18,22.08,127,255,127,5,127
75.68,22.08,127,255,127,5,127
76.18,22.08,127,255,127,5,3
76.68,22.08,127,255,127,5,4
77.18,22.08,127,255,127,5,127
77.68,22.08,127,255,127,5,127
78.18,22.08,127,255,127,5,127
78.68,22.08,127,255,127,5,127
79.18,22.08,127,255,127,5,127
79.68,22.08,127,255,127,5,127
80.18,22.08,127,255,127,5,127
80.68,22.08,127,255,127,5,127
81.18,22.08,127,255,127,5,127
81.68,22.08,127,255,127,5,127
82.18,22.08,127,255,127,5,127
82.68,22.08,127,255,127,5,127
83.18,22.08,127,255,127,5,127
83.68,22.08,127,255,127,5,127
84.18,22.08,127,255,127,5,127
84.68,22.08,127,255,127,5,127
85.18,22.08,127,255,127,5,127
85.68,22.08,127,255,127,5,127
86.18,22.08,127,255,127,5,127
86.68,22.08,127,255,127,5,127
87.18,22.08,127,255,127,5,127
87.68,22.08,127,255,127,5,127
88.18,22.08,1,0,127,5,127
88.68,22.08,127,0,127,5,127
89.18,22.08,127,0,127,5,127
89.68,22.08,1,0,127,5,127
90.18,22.08,1,1,127,5,127
90.68,22.08,1,1,1,5,127
91.18,22.08,2,2,1,4,127
91.68,22.08,2,2,2,5,1
92.18,22.08,1,3,3,5,127
92.68,22.08,127,3,127,32767,127
60.18,21.58,5,255,127,2,1
60.68,21.58,5,255,3,1,1
61.18,21.58,5,255,3,1,1
61.68,21.58,5,255,3,2,1
62.18,21.58,5,255,3,2,1
62.68,21.58,5,255,3,2,1
63.18,21.58,5,255,3,1,1
63.68,21.58,5,255,3,1,1
64.18,21.58,5,4,3,1,1
64.68,21.58,5,4,3,1,1
65.18,21.58,5,3,3,2,1
65.68,21.58,5,3,3,2,1
66.18,21.58,5,2,3,2,1
66.68,21.58,5,2,3,2,1
67.18,21.58,5,2,3,3,1
67.68,21.58,5,1,3,3,1
68.18,21.58,5,1,3,4,1
68.68,21.58,5,0,3,4,1
69.18,21.58,5,0,3,4,1
69.68,21.58,5,255,2,5,2
70.18,21.58,127,255,127,5,127
70.68,21.58,127,255,127,5,127
71.18,21.58,127,255,127,5,127
71.68,21.58,127,255,127,5,127
72.18,21.58,127,255,127,4,2
72.68,21.58,1,255,2,5,127
73.18,21.58,127,255,127,5,127
73.68,21.58,127,255,127,5,127
74.18,21.58,127,255,127,5,127
74.68,21.58,127,255,127,5,127
75.18,21.58,127,255,127,5,127
75.68,21.58,127,255,127,5,127
76.18,21.58,127,255,127,5,127
76.68,21.58,127,255,127,5,127
77.18,21.58,127,255,127,5,127
77.68,21.58,127,255,127,5,127
78.18,21.58,127,255,127,5,127
78.68,21.58,127,255,127,5,127
79.18,21.58,127,255,127,5,127
79.68,21.58,127,255,127,5,127
80.18,21.58,127,255,127,5,127
80.68,21.58,127,255,127,5,127
81.18,21.58,127,255,127,5,127
81.68,21.58,127,255,127,5,127
82.18,21.58,127,255,127,5,127
82.68,21.58,127,255,127,5,127
83.18,21.58,127,255,127,5,127
83.68,21.58,127,255,127,5,3
84.18,21.58,127,255,127,5,127
84.68,21.58,127,255,127,5,127
85.18,21.58,127,255,127,5,127
85.68,21.58,127,255,127,5,127
86.18,21.58,127,255,127,5,127
86.68,21.58,127,255,127,5,127
87.18,21.58,127,255,1,5,1
87.68,21.58,2,0,1,5,1
88.18,21.58,2,0,1,5,127
88.68,21.58,2,0,1,5,127
89.18,21.58,2,0,1,5,127
89.68,21.58,3,0,1,5,1
